id;x;y
1;1.65889830508474;0.25098870056497
1;1.65494350282486;0.701836158192091
1;2.4933615819209;1.76567796610169
1;3.54929378531073;1.88827683615819
1;4.13064971751412;2.45776836158192
2;4.15042372881356;1.60353107344633
2;3.47019774011299;0.923305084745761
2;2.40635593220339;0.923305084745761
2;2.14533898305084;1.53234463276836
2;2.08601694915254;2.57641242937853
2;2.49731638418079;2.98771186440678
3;0.200812146892656;2.14088983050848
3;1.44262005649717;2.14879943502825
3;3.06408898305084;2.16066384180791
3;3.06408898305084;2.7103813559322
3;3.70872175141242;2.97930790960452
3;4.11606638418078;2.62337570621469
